name,domain
1ST CHOICE HEALTHCARE INC,1stchoice-ar.org
ADELANTE HEALTHCARE INC,adelantehealthcare.com
ADVANTAGE HEALTH CENTERS (AKA DETROIT HEALTH CARE FOR THE HOMELESS),ahcdetroit.org
ALASKA AREA NATIVE HEALTH SERVICE,www.anthc.org
ALL CARE HEALTH CENTER,www.allcarehealthcenter.org
ALL FOR HEALTH HEALTH FOR ALL,all4health.org
ALLIED SERVICES INTEGRATED HEALTH SYSTEM,discovernepa.com
ALOMERE HEALTH (FKA DOUGLAS COUNTY HOSPITAL),alomerehealth.com
ALTUS HEALTH SYSTEM (AKA ALTUS HOSPITALS),altushc.com
ANMED HEALTH SYSTEM,www.healthgrades.com
ARKANSAS HEART HOSPITALS,www.arheart.com
ASCENSION SAINT THOMAS (FKA SAINT THOMAS HEALTH),www.saintthomasbehavioral.com
